Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,Sentiment,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,89800,1866,-2,
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",3/19/2018,719739,,-3,
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/2008,91419,,2,
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Cura?ao,?Kingdom of the Netherlands",3/31/1965,87347,1926,-2,
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",3/20/2015,1040971,,5,
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/1982,91440,1920,5,
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",3/16/2017,883241,,7,
SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,1945,-6,
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/2002,1063761,2003,3,
SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",,64040,,-7,
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998,7,
STE,STERIS plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",12/23/2019,1757898,1985,7,
STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792,-5,
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/2012,1137789,,6,
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,16918,,-1,
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/1982,93556,,-6,
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/2015,4127,,-7,
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",11/18/2015,1601712,2003,-7,
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,,3,
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",12/31/1986,96021,,-2,
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),7,
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,24545,,3,
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016,1260221,,-1,
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/2011,1385157,,-7,
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",12/4/1997,92230,,-1,
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/2019,96943,1943,0,
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/1976,27419,,0,
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/2000,98246,,2,
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,109198,,2,
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745,2006 (1902),0,
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/2019,1283699,1994,-1,
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017,-5,
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,-1,
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",8/21/2002,86312,,-5,
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,916365,,0,
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,1935,-4,
TT,Trane Technologies plc,reports,Industrials,Building Products,"Dublin, Ireland",11/17/2010,1466258,,-1,
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/2018,946581,,7,
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",6/7/2018,1418091,,1,
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,-3,
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/1978,217346,,-6,
UA,Under Armour Class C,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",4/8/2016,1336917,,4,
UAA,Under Armour Class A,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/2014,1336917,,7,
UAL,United Airlines Holdings,reports,Industrials,Airlines,"Chicago, Illinois",9/3/2015,100517,1967,-6,
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/2016,74208,,-7,
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,352915,,-4,
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/2016,1403568,1990,2,
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,731766,,0,
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/1994,5513,,-7,
UNP,Union Pacific Corp,reports,Industrials,Railroads,"Omaha, Nebraska",,100885,1862,1,
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/2002,1090727,1907,4,
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,1067701,1997,-1,
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,4,
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",12/21/2009,1403161,,2,
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",2/12/2007,203527,,3,
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/1979,103379,,1,
